happiness,户口类型,出生年份,家庭年收入,家庭常驻人口,家庭经济状况,是否参加基本医疗保险,是否参加基本养老保险,是否参加商业医疗保险,是否参加商业养老保险,养老应该由谁负责
非常幸福,农村,1963,100000,7,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常不幸福,农村,1933,960,1,远低于平均水平,没有参加,参加了,没有参加,没有参加,主要由政府负责
比较幸福,农村,1938,不适用,1,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,农村,1959,24000,1,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1974,70000,3,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1975,12000,3,平均水平,参加了,没有参加,没有参加,没有参加,主要由老人自己负责
非常幸福,农村,1976,300000,2,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1954,50000,5,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,农村,1976,50000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1973,35000,3,低于平均水平,参加了,参加了,没有参加,参加了,主要由老人自己负责
比较幸福,农村,1980,150000,8,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1950,0,3,低于平均水平,参加了,没有参加,没有参加,参加了,主要由子女负责
比较幸福,城市,1974,30000,3,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1960,120000,6,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1978,100000,3,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1937,80000,5,低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,农村,1938,950,1,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较不幸福,城市,1989,100000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1968,20000,3,低于平均水平,没有参加,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1985,100000,3,高于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1966,60000,2,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,农村,1937,2000,2,远低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1930,110000,2,高于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较不幸福,农村,1943,78000,1,远低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,农村,1988,30000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1961,80000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1966,70000,2,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1972,50000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1973,60000,4,平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
比较幸福,农村,1935,100000,4,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,农村,1985,80000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1985,30000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,农村,1965,60000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1990,140000,5,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,农村,1981,22000,2,低于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1970,100000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,农村,1961,13000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较不幸福,农村,1939,5000,2,远低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,农村,1984,65000,4,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
比较幸福,城市,1939,120000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1950,48000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1955,17000,2,低于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1968,80000,2,高于平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
比较幸福,农村,1952,100000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1962,30000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1953,80000,2,高于平均水平,参加了,参加了,没有参加,参加了,政府/子女/老人责任均摊
比较幸福,农村,1950,80000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,农村,1951,不知道,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,农村,1965,100000,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1953,98000,3,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,农村,1944,25000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,农村,1935,66000,2,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,农村,1956,20000,2,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,农村,1979,120000,5,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
比较幸福,农村,1986,70000,3,平均水平,参加了,没有参加,参加了,参加了,政府/子女/老人责任均摊
非常幸福,农村,1957,100000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,农村,1986,100000,4,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,农村,1970,55000,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1985,50000,6,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1996,70000,3,平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1964,200000,5,高于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1978,150000,4,平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
说不上幸福不幸福,城市,1963,140000,3,低于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1979,100000,5,高于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1941,80000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1970,50000,3,低于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1966,300000,1,低于平均水平,参加了,参加了,参加了,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1961,50000,6,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,农村,1972,100000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1942,48000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,农村,1968,63000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1987,不知道,4,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1952,100000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1951,70000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1979,100000,3,平均水平,参加了,没有参加,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1973,130000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1958,25000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1955,6000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,农村,1957,200000,2,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1932,130000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1976,80000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1979,90000,4,高于平均水平,没有参加,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1958,70000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,农村,1953,200000,6,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1967,拒绝回答,3,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,农村,1950,80000,6,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1931,10000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1957,不知道,6,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1943,拒绝回答,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1988,250000,8,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1935,50000,1,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1948,70000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1983,280000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,农村,1966,拒绝回答,5,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1989,不知道,3,平均水平,参加了,无法回答,没有参加,没有参加,主要由子女负责
非常幸福,城市,1988,100000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1935,95000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1931,150000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1955,150000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1959,3600,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1977,150000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1972,100000,3,平均水平,参加了,参加了,参加了,没有参加,主要由政府负责
非常幸福,城市,1963,300000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1925,拒绝回答,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1947,72000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1958,24000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较不幸福,城市,1960,50000,3,低于平均水平,参加了,参加了,不适用,不适用,主要由政府负责
比较幸福,农村,1982,30000,3,远低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1956,100000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,农村,1968,70000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1979,200000,50,高于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
说不上幸福不幸福,城市,1963,30000,2,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1965,50000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1970,150000,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1950,60000,4,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1959,不知道,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1973,40000,1,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1983,200000,7,平均水平,参加了,无法回答,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1954,50000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1950,120000,3,平均水平,参加了,参加了,没有参加,参加了,政府/子女/老人责任均摊
比较幸福,农村,1997,不知道,4,低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1955,300000,3,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1962,25000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1945,90000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1962,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,无法回答
比较幸福,农村,1966,60000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1974,300000,3,平均水平,参加了,没有参加,参加了,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1945,250000,5,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1942,65000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1968,250000,2,高于平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
比较幸福,城市,1972,50000,3,低于平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
比较幸福,城市,1972,不知道,5,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1964,100000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1963,60000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1982,200000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1943,100000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1993,200000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1984,100000,4,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1945,70000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1951,0,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1966,0,2,平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
比较幸福,城市,1946,70800,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,农村,1994,100000,5,平均水平,参加了,没有参加,参加了,没有参加,主要由子女负责
非常幸福,城市,1953,200000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1981,250000,4,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1952,120000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1963,100000,4,平均水平,无法回答,无法回答,没有参加,没有参加,主要由子女负责
非常幸福,农村,1956,不知道,7,高于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1941,18000,1,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1934,2000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1985,10000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1947,40000,1,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1942,50000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1985,200000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1994,150000,2,平均水平,没有参加,没有参加,无法回答,无法回答,主要由子女负责
比较幸福,城市,1980,200000,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1946,60000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1956,50000,2,低于平均水平,参加了,参加了,无法回答,无法回答,主要由子女负责
说不上幸福不幸福,农村,1972,300000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1990,200000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1969,25000,1,无法回答,参加了,参加了,没有参加,没有参加,无法回答
比较幸福,城市,1957,150000,4,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1961,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1948,60000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1994,100000,3,平均水平,参加了,没有参加,没有参加,参加了,政府/子女/老人责任均摊
比较幸福,城市,1979,不知道,3,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1944,45000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1947,30000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1970,150000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1976,150000,3,平均水平,参加了,参加了,没有参加,参加了,主要由子女负责
比较幸福,农村,1954,95000,2,远高于平均水平,参加了,没有参加,没有参加,参加了,主要由子女负责
比较不幸福,城市,1988,120000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1970,100000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1938,100000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1961,60000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1949,15000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1969,65000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1965,80000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1964,不知道,2,高于平均水平,没有参加,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1958,70000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1955,60000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1954,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1987,200000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1957,100000,6,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1958,150000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1965,0,3,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1964,50000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1947,70000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1977,150000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1989,100000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1968,200000,3,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1981,110000,5,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1957,120000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1988,200000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1963,不知道,7,高于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1964,40000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1957,35000,2,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1990,200000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1986,200000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1952,100000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1981,150000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1954,200000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1955,120000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1989,100000,4,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1963,130000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1939,120000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1945,60000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1929,36000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1966,0,2,远低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1978,300000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1951,100000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1927,不知道,2,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1932,40000,1,平均水平,参加了,参加了,没有参加,参加了,主要由老人自己负责
非常幸福,城市,1939,120000,2,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,农村,1986,500000,8,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1956,134400,3,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,农村,1965,200000,6,高于平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1981,140000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常不幸福,城市,1959,10000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1952,拒绝回答,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,农村,1971,20000,4,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,农村,1927,0,1,平均水平,没有参加,没有参加,没有参加,没有参加,无法回答
比较幸福,城市,1985,60000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1981,150000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1982,200000,3,高于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1951,100000,2,平均水平,参加了,没有参加,参加了,参加了,主要由老人自己负责
说不上幸福不幸福,城市,1978,165000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1957,200000,3,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1958,50000,2,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1935,50000,2,平均水平,参加了,参加了,没有参加,没有参加,无法回答
比较幸福,城市,1975,100000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1968,130000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1921,30000,1,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1934,60000,4,平均水平,没有参加,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1978,150000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1993,90000,3,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1952,90000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,农村,1948,50000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1942,120000,3,高于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1966,560000,2,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
比较幸福,城市,1950,70000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1931,45000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1985,200000,3,低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
非常幸福,城市,1957,100000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1987,76000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1959,150000,2,高于平均水平,参加了,没有参加,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1958,90000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1972,45000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1969,200000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1939,17000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1956,50000,7,低于平均水平,没有参加,参加了,没有参加,没有参加,主要由子女负责
比较幸福,农村,1977,0,5,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较不幸福,农村,1970,60000,6,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,农村,1949,不知道,6,高于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
说不上幸福不幸福,城市,1943,120000,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
说不上幸福不幸福,城市,1966,70000,4,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
说不上幸福不幸福,城市,1990,10000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1951,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1928,不适用,1,平均水平,没有参加,没有参加,参加了,参加了,主要由子女负责
非常幸福,城市,1928,45000,1,高于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1930,100000,1,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
非常幸福,城市,1987,30000,9,远低于平均水平,没有参加,没有参加,没有参加,没有参加,主要由政府负责
说不上幸福不幸福,城市,1934,120000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1951,50000,5,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,农村,1946,150000,7,平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1987,130000,4,平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1949,100000,2,平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1974,拒绝回答,2,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,农村,1962,不知道,6,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
