类别,行政区,点评数,口味,环境,服务,人均消费
甜点,D,0,0,0,0,0
甜点,D,0,0,0,0,0
西餐,D,0,0,0,0,0
甜点,D,0,0,0,0,0
甜点,D,0,0,0,0,0
西餐,D,361,8.9,9.2,9.1,183
甜点,D,442,8.2,7.8,7.9,38
西餐,D,608,8.2,7.5,7.7,115
龙虾,I,3246,8.2,8.2,8.6,190
蟹宴,B,652,9.4,9.1,9.4,250
蟹宴,B,652,9.4,9.1,9.4,250
川菜,B,1,6.9,6.9,6.9,0
快餐,D,1,7.1,7.1,7.1,0
美食,B,7,7.2,7.1,7.2,0
料理,D,4499,7.4,7.9,7.8,78
啡厅,D,265,6.2,6.7,6.4,38
啡厅,D,265,6.2,6.7,6.4,38
快餐,,29,7.6,7.5,7.5,36
快餐,,12,7.5,7.5,7.5,0
西餐,,0,0,0,0,0
甜点,,96,7.1,7,7.3,17
美食,,2,6.9,6.9,6.8,0
快餐,,12,7.5,7.5,7.5,0
甜点,,96,7.1,7,7.3,17
西餐,B,528,7.5,7.5,7.6,121
烧烤,B,0,0,0,0,0
西餐,B,528,7.5,7.5,7.6,121
料理,J,0,0,0,0,0
快餐,D,9,7.5,7.1,7.2,0
粤菜,B,2404,8.1,7.1,7.4,71
快餐,I,4,6.9,7.1,6.9,0
川菜,I,2,7,7,7,0
湘菜,I,0,0,0,0,0
北菜,I,0,0,0,0,0
火锅,I,4132,8.2,7.9,8.2,101
料理,I,3892,7.8,7.9,7.8,57
火锅,I,820,7.7,8,8.1,81
火锅,I,1024,7.3,6.9,7.6,76
火锅,I,0,0,0,0,0
火锅,I,606,7.6,7.2,7.3,67
快餐,I,680,8,7.6,7.8,22
快餐,I,284,7.3,7.3,6.9,27
快餐,I,64,7.7,7.2,7.5,32
快餐,I,22,7.2,7.1,7.1,13
本菜,I,17,7.2,7.1,7.2,59
料理,I,2064,8.5,8.2,8.7,102
料理,I,3892,7.8,7.9,7.8,57
料理,J,3,7.1,6.9,7.3,0
料理,I,1,0,0,0,0
甜点,I,122,7.4,7.9,7.9,16
甜点,I,55,7.3,7.9,7.7,36
甜点,I,100,7,7.1,7.3,16
甜点,I,49,8.9,8.2,9,18
甜点,I,29,7.1,7.1,7.1,19
甜点,I,17,7,7,7,61
美食,I,5,7.6,7.2,7.3,0
美食,I,14,7,7.1,7,0
美食,I,0,0,0,0,0
美食,I,0,0,0,0,0
美食,I,0,0,0,0,0
龙虾,I,0,0,0,0,0
南菜,I,1100,7.9,8,8.3,58
火锅,I,820,7.7,8,8.1,81
火锅,I,1024,7.3,6.9,7.6,76
快餐,I,0,0,0,0,0
北菜,I,3261,8.8,8.6,9,47
甜点,I,29,7.1,7.1,7.1,19
西餐,J,2,7,7,7,0
西餐,J,2,7,7,7,0
火锅,J,129,8,7.7,8,32
快餐,J,389,6.6,7,6.8,26
快餐,J,389,6.6,7,6.8,26
啡厅,B,0,0,0,0,0
快餐,D,6,6.8,7,7.1,0
火锅,B,11362,8.6,8.4,8.3,133
西餐,B,155,8.3,8.3,8.2,94
甜点,I,140,7.5,7.5,7.5,13
甜点,B,431,7.5,7.3,7.4,30
甜点,I,31,7.3,7.4,7.5,12
烧烤,I,3,6.9,6.8,6.9,0
甜点,I,4,6.6,6.8,7.5,0
快餐,,33,7.3,7.3,7.5,16
料理,I,361,9,9,9.1,60
西餐,B,1516,8,8.7,8.7,141
西餐,B,1516,8,8.7,8.7,141
本菜,D,1,7.3,7.3,7.3,0
北菜,,215,7.5,7.1,7.3,48
甜点,I,238,7.3,7.3,7.4,11
海鲜,I,686,6.5,5.7,6.3,105
川菜,B,9,6.6,7.1,7.1,64
西餐,D,719,7.7,7.4,7.4,23
甜点,D,0,0,0,0,11
甜点,D,0,0,0,0,11
西餐,D,719,7.7,7.4,7.4,23
浙菜,B,141,6.4,6.4,6.4,56
啡厅,B,0,0,0,0,0
啡厅,B,217,8.7,8.7,9,33
海鲜,B,10,7.1,7,7.1,0
啡厅,B,217,8.7,8.7,9,33
啡厅,,6,7.6,7.7,7.2,0
甜点,I,209,7.7,7.6,7.7,18
西餐,E,0,0,0,0,0
快餐,B,329,7.6,7,7,22
甜点,I,4,7.2,7.2,7.1,0
甜点,I,4,7.2,7.2,7.1,0
西餐,B,12,8.2,8.2,7.6,0
西餐,B,12,8.2,8.2,7.6,0
西菜,E,117,7.7,7.2,7.2,91
川菜,I,1,6.9,6.9,6.9,19
本菜,I,612,8,8,7.6,42
西餐,I,88,7.7,7.7,7.9,74
西餐,I,1,7.2,7.2,7.2,0
西餐,I,13,6.9,6.7,6.7,20
甜点,I,247,7.7,7.7,7.8,34
甜点,I,175,7.6,7.5,7.5,11
甜点,I,30,7.5,7.6,8,16
甜点,I,30,7.5,7.6,8,16
甜点,I,19,7.6,7.5,7.7,25
甜点,I,17,7.1,7.3,7.3,16
烧烤,I,6,7,7.1,7.4,0
烧烤,I,7,6.9,6.9,7,15
烧烤,I,0,0,0,0,0
浙菜,I,0,0,0,0,0
快餐,I,31,7.5,7.4,7.4,12
快餐,D,46,6.9,6.5,6.6,6
快餐,I,1,6.8,6.8,7.1,0
粤菜,,16,6.4,7.2,6.9,0
本菜,,140,7.9,8.6,8.2,338
川菜,,19,6.3,6.2,6.2,27
龙虾,,1,6.8,6.8,6.8,0
西餐,I,39,8.3,7.8,8.3,23
北菜,D,9,6.8,6.8,6.9,0
粤菜,B,184,7.8,7.6,7.8,28
湘菜,B,952,7.4,7.4,7.3,80
快餐,B,161,6.5,6.6,6.6,17
啡厅,B,1,7.2,7.2,7.2,0
亚菜,D,424,7.3,7.2,7.4,116
美食,D,1,7,7,7,0
浙菜,B,5,7.2,7.2,7.2,0
亚菜,B,24,6.7,6.7,7.1,42
本菜,B,35,8.5,8.3,8.1,107
快餐,I,112,7.5,7.9,8,24
快餐,I,3,7.1,7.1,7.1,0
北菜,I,7,6.9,6.9,6.9,0
烧烤,G,2,6.9,6.9,6.9,0
甜点,I,30,7.3,6.9,6.9,15
快餐,J,0,0,0,0,27
美食,B,0,0,0,0,0
美食,D,262,7.6,7.3,7.7,79
快餐,B,500,7.4,6,6.7,16
快餐,B,500,7.4,6,6.7,16
助餐,I,556,7.1,6.8,6.9,72
助餐,I,556,7.1,6.8,6.9,72
本菜,I,120,8.1,7.5,7.7,96
甜点,I,21,7.1,7,6.9,0
助餐,I,556,7.1,6.8,6.9,72
甜点,I,0,0,0,0,0
西餐,B,224,8,7.7,7.8,151
粤菜,B,690,8.9,9.1,8.8,221
本菜,B,689,8.5,8.6,8.6,156
甜点,B,33,8.3,8.4,8.4,16
粤菜,B,690,8.9,9.1,8.8,221
北菜,B,605,8.9,8.9,9,88
甜点,B,31,7.5,7.4,7.5,13
火锅,I,22,0,0,0,0
烧烤,I,48,8.6,8.3,8.6,65
快餐,I,369,8.6,7.2,8.5,22
快餐,I,369,8.6,7.2,8.5,22
甜点,I,78,7.2,7.4,7.5,17
北菜,D,5,6.9,6.9,6.9,54
快餐,D,53,7.5,7.2,7.3,29
快餐,D,2,7.2,7.1,7.4,0
快餐,D,3,6.4,6.4,6.5,0
本菜,D,18,7.5,7.2,7.2,54
西餐,D,0,0,0,0,0
甜点,D,628,8.2,7.6,7.7,60
甜点,D,11,7.7,7.6,7.5,0
甜点,D,0,0,0,0,0
美食,D,22,6.9,7.1,7,45
甜点,D,11,7.7,7.6,7.5,0
甜点,D,0,0,0,0,0
美食,E,5,6.9,6.8,6.8,0
浙菜,D,2500,7.7,6.4,7.4,71
甜点,,3,7.1,7.1,7.3,0
烧烤,I,502,6.6,5.7,5.9,37
川菜,B,29,6.5,6.5,6.5,58
火锅,B,141,7,6.5,6.5,61
快餐,B,165,7,6.5,6.7,18
亚菜,D,157,7.7,7.2,8.1,36
甜点,D,40,8.2,8.1,8.6,35
火锅,I,196,7.2,7.1,7.1,20
烧烤,B,0,0,0,0,0
浙菜,I,336,7.4,7.4,7.2,73
浙菜,I,336,7.4,7.4,7.2,73
快餐,I,48,7,7.2,7.1,18
川菜,D,1789,8.8,8.4,8.7,76
川菜,D,1789,8.8,8.4,8.7,76
烧烤,,1,6.9,6.9,6.9,0
湾菜,H,1,7,7,7,0
美食,H,5,7.2,7,7.1,23
龙虾,H,1,6.9,6.9,6.9,19
火锅,B,0,0,0,0,0
快餐,I,334,7.5,7,6.9,25
快餐,,176,7.1,7.1,7,18
龙虾,I,287,7.8,7.5,7.7,91
海鲜,I,23,7.8,7.6,7.7,73
龙虾,I,287,7.8,7.5,7.7,91
粤菜,B,199,7.9,9,8.3,250
粤菜,B,199,7.9,9,8.3,250
助餐,B,286,7.4,8.7,7.9,221
助餐,B,286,7.4,8.7,7.9,221
快餐,I,31,7,7.2,7.3,35
烧烤,I,44,7.9,7.7,7.8,76
助餐,I,19,8.2,8.2,8.6,0
甜点,I,23,7.8,7.8,7.8,0
甜点,H,54,7.2,7.4,7.4,19
美食,I,0,0,0,0,0
川菜,I,21,7.1,7,7.1,67
浙菜,I,0,0,0,0,0
西餐,,0,0,0,0,0
快餐,D,2575,7.6,8.2,7.7,46
本菜,B,132,7.3,7.5,7.5,127
本菜,E,10,7.1,6.9,7.3,0
快餐,,64,7.6,7.5,7.6,33
甜点,,0,0,0,0,0
美食,,11,7.7,7.2,7.5,0
烧烤,,41,7.5,7.1,7.4,46
烧烤,,16,7.3,7.2,7.2,38
快餐,,74,7.5,7.6,7.6,17
火锅,E,0,0,0,0,0
快餐,B,29,7,6.3,6.9,7
快餐,I,38,7.4,7.8,7.4,28
海鲜,I,1054,8.4,8,8.7,148
海鲜,I,0,0,0,0,0
美食,H,2,7.1,7.1,7.1,0
川菜,E,17,7.4,7.2,7.3,56
快餐,E,15,7.1,6.7,7.1,23
火锅,B,66,9,9.1,8.9,235
啡厅,B,183,8.1,8.2,7.8,39
啡厅,B,183,8.1,8.2,7.8,39
啡厅,B,183,8.1,8.2,7.8,39
西餐,B,731,8.3,9,8.7,151
西餐,B,731,8.3,9,8.7,151
西餐,B,731,8.3,9,8.7,151
西餐,B,731,8.3,9,8.7,151
粤菜,B,5,6.8,6.8,6.8,0
火锅,I,418,8.8,8.6,8.7,84
浙菜,B,1220,7,6.4,6.7,91
蟹宴,,1,6.9,6.9,6.9,0
美食,,0,0,0,0,0
蟹宴,,1,6.9,6.9,6.9,0
甜点,B,4,7.3,7.3,7.3,0
甜点,B,4,7.3,7.3,7.3,0
粤菜,E,502,7.6,8.1,7.2,68
西餐,E,556,8.5,9.1,8.8,106
美食,E,0,0,0,0,0
西餐,E,556,8.5,9.1,8.8,106
料理,D,2813,8.1,7.9,8.5,132
快餐,D,2959,8,7.3,7.6,50
本菜,D,1130,9,8.8,9,202
本菜,D,4159,8.6,8,8.5,174
本菜,D,690,8.2,8.2,8.4,141
料理,D,2813,8.1,7.9,8.5,132
甜点,D,81,7.2,7.1,6.9,13
本菜,D,4159,8.6,8,8.5,174
料理,D,2813,8.1,7.9,8.5,132
本菜,D,690,8.2,8.2,8.4,141
火锅,I,1268,8.3,7.9,8,99
火锅,I,1268,8.3,7.9,8,99
火锅,I,1268,8.3,7.9,8,99
湘菜,,308,7.8,7.7,7.7,65
啡厅,D,134,8,8.3,8.5,67
啡厅,D,134,8,8.3,8.5,67
海鲜,K,0,0,0,0,0
浙菜,I,388,8.4,7.3,7.6,51
浙菜,I,4,6.8,6.8,6.7,0
浙菜,I,0,0,0,0,0
川菜,I,13,7.3,7.3,7.3,0
北菜,I,0,0,0,0,0
北菜,I,0,0,0,0,0
火锅,I,106,8.8,7.9,8.1,84
火锅,I,191,7.5,7.7,7.4,106
快餐,I,668,7.9,8.1,7.8,27
快餐,I,20,7.7,7.8,8,31
快餐,I,44,7,7.1,6.7,36
快餐,I,2,6.5,6.5,6.8,0
本菜,I,0,0,0,0,0
料理,I,0,0,0,0,0
西餐,I,325,8.7,9.2,9.1,113
西餐,I,280,8.1,7.8,8,46
甜点,I,917,8.4,8.5,8.2,40
啡厅,I,214,7.7,7.6,7.3,38
甜点,I,7,7.3,7.3,7.3,17
甜点,I,139,7.6,7.6,7.7,16
甜点,I,2,7.3,7,7,0
啡厅,I,1079,8.5,9.1,8.7,56
啡厅,I,214,7.7,7.6,7.3,38
啡厅,I,6,7,7,6.8,0
啡厅,I,0,0,0,0,0
啡厅,I,266,7.5,7.9,7.6,37
本菜,I,0,0,0,0,0
烧烤,I,0,0,0,0,0
西餐,I,325,8.7,9.2,9.1,113
啡厅,I,1079,8.5,9.1,8.7,56
啡厅,I,214,7.7,7.6,7.3,38
甜点,I,7,7.3,7.3,7.3,17
甜点,I,139,7.6,7.6,7.7,16
甜点,I,7,6.8,6.8,6.8,0
啡厅,I,0,0,0,0,0
啡厅,I,266,7.5,7.9,7.6,37
料理,I,1,6.9,6.9,6.9,25
浙菜,B,2,6.9,6.9,6.9,0
本菜,E,0,0,0,0,0
甜点,E,191,8,7.9,8,30
快餐,E,2,7,7,7,17
火锅,B,654,8,7.9,7.9,101
北菜,B,0,0,0,0,49
快餐,D,0,0,0,0,0
快餐,I,49,7.1,7.2,6.9,114
西餐,I,1118,8.1,8,8,80
啡厅,I,773,7.9,7.6,7.5,40
啡厅,I,773,7.9,7.6,7.5,40
啡厅,I,0,0,0,0,0
西餐,I,1118,8.1,8,8,80
烧烤,J,0,0,0,0,0
啡厅,B,8,7.5,7.5,7.5,0
海鲜,B,3,7.2,7.2,7.2,0
本菜,D,104,7,7.2,7.3,59
西餐,I,30,8.1,8.1,8.1,36
西餐,I,30,8.1,8.1,8.1,36
甜点,I,0,0,0,0,0
浙菜,B,147,6.9,6.5,6.5,56
火锅,I,11,7.7,7.4,7.7,0
美食,I,0,0,0,0,0
西菜,I,2,7,6.8,7,0
快餐,D,74,8.6,8.8,8.8,52
快餐,D,20,7.1,7,7.1,0
本菜,D,572,7.8,8.1,7.8,158
甜点,D,1612,8.1,8.2,7.9,26
啡厅,D,0,0,0,0,0
快餐,D,1,7.1,7.1,7,0
甜点,D,1612,8.1,8.2,7.9,26
甜点,I,617,8.2,8.3,8.3,14
甜点,B,12,7.7,7.7,7.7,0
烧烤,,3,6.5,6.7,6.7,0
川菜,H,1,7.1,7.1,7.1,0
川菜,H,54,7.3,7.4,7.1,56
川菜,H,66,6.7,7,7.1,63
川菜,H,7,7,7,7,32
湘菜,H,74,7.1,7.2,7,59
素菜,H,11,7.4,7.4,7.5,32
火锅,H,196,8.5,9.1,8.8,91
火锅,H,1,6.9,6.9,6.9,0
快餐,H,55,7.6,7.2,7.3,31
本菜,H,1008,8.3,8.6,8.7,53
料理,H,60,7.4,7.6,7.7,38
啡厅,H,61,7.3,7.4,7.4,55
西餐,H,0,0,0,0,0
甜点,H,248,9,8.9,8.7,86
美食,H,0,0,0,0,0
啡厅,H,61,7.3,7.4,7.4,55
蟹宴,H,0,0,0,0,0
龙虾,H,2,6.5,7,6.8,0
火锅,H,196,8.5,9.1,8.8,91
啡厅,B,5,7.1,7,7.1,22
素菜,E,1907,7.8,7.2,7,32
美食,B,1,6.9,6.9,6.9,0
甜点,D,2375,7.9,6.8,6.8,17
甜点,D,2375,7.9,6.8,6.8,17
美食,D,0,0,0,0,0
啡厅,B,5,7.5,7.4,7.1,0
啡厅,B,5,7.5,7.4,7.1,0
亚菜,B,580,8.1,9,8.7,190
西餐,B,992,8.1,8.9,8,327
西餐,B,111,7.7,7.5,7.7,109
甜点,B,25,6.7,7.4,7,52
甜点,B,14,7,7.3,7.4,0
西餐,B,992,8.1,8.9,8,327
甜点,B,14,7,7.3,7.4,0
西餐,B,992,8.1,8.9,8,327
甜点,E,1,7,7,7,0
啡厅,B,2186,8.6,8.4,8.8,90
啡厅,B,2186,8.6,8.4,8.8,90
啡厅,B,2186,8.6,8.4,8.8,90
啡厅,B,2186,8.6,8.4,8.8,90
美食,B,0,0,0,0,0
啡厅,B,0,0,0,0,0
浙菜,I,254,7.3,6.3,6.8,48
浙菜,I,254,7.3,6.3,6.8,48
火锅,I,52,7,7.1,7.1,101
西餐,H,96,7.5,7.3,7.3,14
甜点,H,46,7.4,7.4,7.3,16
甜点,H,46,7.4,7.4,7.3,16
西餐,H,96,7.5,7.3,7.3,14
西餐,I,24,7.1,7.3,7.3,33
西餐,I,24,7.1,7.3,7.3,33
啡厅,D,0,0,0,0,0
啡厅,D,0,0,0,0,0
西餐,D,779,9,8.3,8.9,226
西餐,D,3,6.8,6.8,6.8,0
西餐,D,779,9,8.3,8.9,226
西餐,D,3,6.8,6.8,6.8,0
甜点,B,419,7.9,7.7,7.7,15
川菜,D,2231,8.2,7.2,7.7,73
川菜,D,2231,8.2,7.2,7.7,73
火锅,I,0,0,0,0,0
啡厅,B,3,7,7,7,0
啡厅,B,3,7,7,7,0
火锅,I,0,0,0,0,0
本菜,I,11,7.3,7.3,7.5,0
亚菜,I,0,0,0,0,0
亚菜,I,0,0,0,0,0
常菜,I,0,0,0,0,0
甜点,B,3,7.3,7,7.3,19
亚菜,D,1169,8.5,8,8.8,123
啡厅,B,79,8.4,8.7,8.5,35
啡厅,B,79,8.4,8.7,8.5,35
啡厅,,34,6.8,7,6.9,45
啡厅,,34,6.8,7,6.9,45
西餐,B,1,7.1,7.1,7.1,0
西餐,B,1,7.1,7.1,7.1,0
甜点,E,1,6.9,6.9,6.9,0
啡厅,E,1,7.1,7.1,7.1,0
啡厅,E,1,7.1,7.1,7.1,0
甜点,E,1,6.9,6.9,6.9,0
美食,B,16,7.5,7.3,7.6,113
西餐,,9,7.1,6.8,7.3,19
快餐,B,12,7.4,7.1,7.1,0
疆菜,B,6,7.2,6.9,6.9,15
烧烤,I,1,7.2,7.2,7.2,0
快餐,H,3,7.1,7.1,7.1,50
快餐,H,4,6.7,6.9,7.2,40
美食,I,206,6.9,6.6,6.7,55
啡厅,B,780,7.8,8.3,7.7,61
啡厅,B,780,7.8,8.3,7.7,61
快餐,B,107,7.3,7.3,7.1,27
美食,D,1,6.9,6.9,6.9,0
火锅,H,37,7.8,8,8.2,77
料理,H,232,7.9,8.1,8.8,62
快餐,H,136,7.3,7.5,7.3,20
料理,H,232,7.9,8.1,8.8,62
快餐,H,7,6.8,6.8,6.8,35
甜点,H,3,7.4,7.4,7.6,0
啡厅,I,77,6.7,6.9,6.9,71
啡厅,I,77,6.7,6.9,6.9,71
浙菜,B,239,7,6.8,6.8,77
本菜,E,50,8.2,8.2,9,37
啡厅,B,1,6.9,6.9,6.9,0
甜点,D,0,0,0,0,0
甜点,D,0,0,0,0,0
快餐,B,3,7.3,7.3,7.3,15
啡厅,B,0,0,0,0,0
美食,I,0,0,0,0,0
粤菜,D,1855,8,7.7,7.7,50
浙菜,H,1,7.1,7.1,7.1,0
湘菜,I,722,8,8,7.8,64
龙虾,D,3921,8,7.5,7.5,171
龙虾,D,3921,8,7.5,7.5,171
龙虾,D,3921,8,7.5,7.5,171
美食,I,0,0,0,0,0
快餐,H,381,6.7,6.6,6.5,13
啡厅,H,39,7,7,6.9,25
啡厅,H,39,7,7,6.9,25
火锅,B,26820,7.7,6.9,7.2,88
快餐,B,33,7.2,6.8,7,17
快餐,B,33,7.2,6.8,7,17
快餐,,10,7.2,7.1,7.2,0
甜点,D,2017,7.5,7.4,7.3,31
甜点,D,2017,7.5,7.4,7.3,31
川菜,I,1,7.4,7.4,7.4,0
常菜,I,1,7.2,7.2,7.2,0
甜点,I,7,7.7,7.7,7.7,0
美食,B,80,7.9,8.8,8.6,232
快餐,,21,7.3,7.2,7.3,22
西餐,,0,0,0,0,0
西餐,,0,0,0,0,0
快餐,I,367,7.5,7.2,7,28
快餐,I,367,7.5,7.2,7,28
快餐,I,19,7.4,7.4,7.6,21
甜点,E,70,8.3,8,8.1,30
湘菜,B,1639,7.6,6.9,6.9,80
川菜,I,6,7.2,7.5,7.2,0
料理,I,43,6.4,6.4,6.5,40
浙菜,I,3777,0,0,0,124
粤菜,I,361,7.8,7.5,7.6,45
快餐,I,318,7.6,8.3,7.9,27
本菜,I,3867,7.2,7.1,6.7,55
甜点,I,7,7.4,7.4,7.4,0
本菜,I,3867,7.2,7.1,6.7,55
浙菜,D,136,6.6,7.3,6.4,280
川菜,D,302,7.2,8.7,8,328
助餐,D,1973,7.2,8.6,7.7,199
西餐,D,667,7.6,8.7,8.2,333
甜点,D,230,7,6.9,6.6,48
助餐,D,1973,7.2,8.6,7.7,199
助餐,D,1973,7.2,8.6,7.7,199
火锅,I,441,8.5,7.4,8.1,87
美食,B,5,7,7,7,0
快餐,,7,7.2,7.3,7.2,0
快餐,,5,7.5,7.5,7.5,0
甜点,I,0,0,0,0,0
快餐,,26,7.3,7.2,7.1,0
快餐,I,15,6.9,6.9,6.9,19
快餐,I,1,7.5,6.8,7.5,0
素菜,D,284,7.1,5.8,5.9,21
浙菜,I,1,6.9,6.9,6.9,21
快餐,,35,6.8,6.7,6.5,25
甜点,I,10,0,0,0,0
甜点,I,10,0,0,0,0
甜点,I,10,0,0,0,0
甜点,D,0,0,0,0,0
甜点,,7,7.8,7.7,7.8,0
西餐,D,307,8.8,9.1,9,499
甜点,B,2094,8.2,7.7,7.5,26
北菜,I,0,0,0,0,0
甜点,I,38,8.1,8,8.6,13
甜点,I,38,8.1,8,8.6,13
火锅,I,145,7.2,6.9,7.1,71
西餐,B,7,7,7,7,13
啡厅,B,152,8.4,8.7,8.7,39
啡厅,B,152,8.4,8.7,8.7,39
浙菜,D,0,0,0,0,0
甜点,D,1,7.1,7.1,7.1,10
啡厅,D,7,6.8,7.1,6.8,0
啡厅,D,7,6.8,7.1,6.8,0
甜点,D,1,7.1,7.1,7.1,10
快餐,B,212,7.1,6.7,6.2,21
烧烤,B,1,6.9,6.9,6.9,0
西餐,B,0,0,0,0,0
快餐,B,17,7.4,7.1,7.4,13
快餐,B,2,7.5,7.4,7.4,0
浙菜,D,2,7.1,7.1,7.1,0
火锅,D,0,0,0,0,0
西餐,D,3,7,6.9,6.9,0
西餐,D,3,7,6.9,6.9,0
湘菜,H,0,0,0,0,0
快餐,D,5682,7.3,7.2,7,29
快餐,I,87,7.2,7.2,7.1,17
甜点,D,63,8.9,8.8,9,23
西餐,H,134,8.5,9.1,9,65
西餐,D,1930,8.3,8.5,7.7,183
西餐,D,1930,8.3,8.5,7.7,183
西餐,D,1930,8.3,8.5,7.7,183
火锅,B,2218,8.3,8.1,8,156
火锅,B,20,7.4,7.5,7.6,0
本菜,B,9,7.6,7.6,7.6,0
甜点,B,42,6.8,7,6.6,38
甜点,B,4,7.5,7.4,7.6,0
湾菜,B,27,6.9,6.7,6.8,25
浙菜,,971,8,8.5,7.4,159
本菜,B,1,6.9,6.9,6.9,0
西餐,B,113,7.5,7.7,7.4,28
甜点,B,233,7.8,7.6,7.5,17
西餐,B,113,7.5,7.7,7.4,28
西餐,D,461,7.9,8.5,8.3,59
甜点,D,3,7.4,7.4,7.4,0
西餐,D,461,7.9,8.5,8.3,59
西餐,D,461,7.9,8.5,8.3,59
西餐,D,461,7.9,8.5,8.3,59
甜点,K,54,7.5,7.5,7.5,14
西餐,D,4216,8.8,9.1,8.9,177
西餐,D,4216,8.8,9.1,8.9,177
西餐,D,4216,8.8,9.1,8.9,177
西餐,D,4216,8.8,9.1,8.9,177
美食,I,44,6.4,6.3,6.4,66
火锅,I,742,7.2,7.2,7.1,77
海鲜,I,0,0,0,0,0
川菜,I,12,6.9,6.8,6.8,26
美食,I,0,0,0,0,0
美食,D,0,0,0,0,0
西餐,,13,7,7.3,7.3,17
北菜,B,5,6.9,6.9,6.9,0
啡厅,B,857,7.4,6.6,6.5,49
啡厅,B,857,7.4,6.6,6.5,49
甜点,B,1950,8.3,8,8,31
甜点,,0,0,0,0,0
甜点,,0,0,0,0,0
甜点,,49,7.2,6.9,7.2,4
美食,B,9,7.1,7.1,7.1,0
粤菜,I,3745,8,8.2,7.8,191
本菜,I,1008,8.1,8.8,8.7,115
粤菜,I,3745,8,8.2,7.8,191
粤菜,I,3745,8,8.2,7.8,191
快餐,B,38,7.5,7.3,7.4,21
浙菜,I,0,0,0,0,0
浙菜,I,0,0,0,0,0
海鲜,I,0,0,0,0,0
甜点,I,1,7.1,7,7.1,0
西餐,B,32,6.7,6.8,6.7,88
甜点,I,6,7.1,7.2,7.2,0
甜点,B,27,7.8,7.7,7.6,29
湾菜,D,3379,7,7.1,7,34
浙菜,B,2,7.2,7,7,0
川菜,H,182,7.5,7.5,7.6,84
烧烤,H,84,7.1,7.5,7.6,85
烧烤,H,84,7.1,7.5,7.6,85
素菜,D,2146,8.6,9,8.6,173
素菜,D,1491,8.2,8.7,8.3,111
素菜,D,2096,8,8,7.8,37
素菜,D,2146,8.6,9,8.6,173
美食,E,19,7,7,7,40
西餐,B,48,8,8.3,8.2,74
甜点,B,41,7.4,7.6,7.8,18
粤菜,B,312,7,6.6,6.5,51
粤菜,B,312,7,6.6,6.5,51
火锅,B,5036,8.9,8.6,8.8,118
烧烤,E,19,7.5,7,7.4,19
甜点,I,23,7.7,7.7,7.7,0
快餐,I,42,7.4,7.3,7,22
快餐,I,9,7.2,7.3,7.4,16
西餐,I,1277,7.6,7.7,7.6,62
啡厅,I,456,7.9,7.9,7.9,36
啡厅,I,456,7.9,7.9,7.9,36
快餐,I,42,7.4,7.3,7,22
啡厅,I,456,7.9,7.9,7.9,36
美食,E,58,7.4,7.4,7.1,18
本菜,D,2427,9.1,9,9.2,711
本菜,D,2184,8.3,8.4,8.5,73
浙菜,D,115,7.3,7.3,7.1,178
快餐,D,3,7.5,7.5,7.5,0
快餐,D,4,7.1,7.1,7.1,0
甜点,E,4,7.7,7.6,7.3,0
甜点,E,4,7.7,7.6,7.3,0
西餐,B,27,7.3,7.3,7.4,75
蟹宴,D,0,0,0,0,0
蟹宴,D,0,0,0,0,0
快餐,,8,6.7,6.4,7,0
美食,,0,0,0,0,0
海鲜,I,0,0,0,0,0
快餐,,17,7.9,7.9,7.9,92
快餐,,9,7.8,7.2,7.4,16
甜点,,11,7,7.1,7.2,0
甜点,,1,6.8,6.8,6.8,0
美食,,1,6.9,6.9,6.9,0
美食,,4,6.8,6.6,6.8,0
快餐,,9,7.8,7.2,7.4,16
甜点,,11,7,7.1,7.2,0
甜点,I,28,7.1,7.1,7.2,13
火锅,B,1690,8.7,8.3,8.7,116
火锅,B,7602,6.5,5.3,5.4,56
火锅,B,1690,8.7,8.3,8.7,116
快餐,E,11,6.6,6.6,6.6,11
快餐,,114,7.5,7.5,7.4,27
粤菜,H,49,6.8,7.3,7,38
粤菜,H,49,6.8,7.3,7,38
美食,I,2,7.3,7.2,7.3,0
快餐,I,56,7.1,7,7.1,19
甜点,D,1,6.9,6.9,6.9,0
甜点,D,1,6.9,6.9,6.9,0
美食,,0,0,0,0,0
北菜,B,7,7.1,7,7,0
海鲜,B,15,6.8,6.8,6.8,0
啡厅,B,3,7,7,7.1,0
浙菜,B,0,0,0,0,0
甜点,B,17,7.1,7.3,7.2,0
快餐,B,10,6.8,6.8,6.7,0
西餐,H,66,7.4,7.5,7.5,27
快餐,I,14,7.1,7.2,7.1,0
快餐,I,14,7.1,7.2,7.1,0
本菜,B,1,6.5,6.5,6.5,0
啡厅,B,11,7,7.2,7.5,0
啡厅,B,2,0,0,0,0
啡厅,B,0,0,0,0,0
啡厅,B,11,7,7.2,7.5,0
火锅,E,17,7.2,7.3,7.3,0
快餐,I,1270,7.3,7.4,7,30
粤菜,D,1974,8,8.5,8.6,112
粤菜,D,4260,7.5,7.5,7,81
火锅,D,0,0,0,0,0
粤菜,D,1974,8,8.5,8.6,112
美食,D,0,0,0,0,0
粤菜,D,1974,8,8.5,8.6,112
啡厅,B,0,0,0,0,0
粤菜,,2,6.8,6.8,6.8,0
美食,I,2,7.1,7.1,7.1,0
本菜,,233,7.8,7.4,7.9,45
甜点,D,3703,8.3,7.9,8,45
